"Date","Price","Open","High","Low","Vol.","Change %"
2021- 09- 12,"124,500","126,500","130,000","122,500",0,0%
2021- 09- 10,"130,000","127,000","133,500","126,000",9.85M,1.17%
2021- 09- 09,"128,500","134,000","134,500","128,000",14.25M,-7.22%
2021- 09- 08,"138,500","151,500","151,500","136,500",16.61M,-10.06%
2021- 09- 07,"154,000","155,500","156,000","153,500",1.06M,-0.96%
2021- 09- 06,"155,500","156,000","156,500","152,500",1.88M,-0.64%
2021- 09- 05,"155,500","156,000","156,500","152,500",0,0%
2021- 09- 03,"156,500","155,500","157,500","154,500",1.92M,0.97%
2021- 09- 02,"155,000","154,500","156,000","153,500",1.63M,0.65%
2021- 09- 01,"154,000","155,000","156,000","154,000",2.00M,-0.65%
2021- 08- 31,"155,000","152,500","155,000","151,000",3.03M,2.31%
2021- 08- 30,"151,500","152,000","153,000","150,500",1.62M,1.00%
2021- 08- 29,"151,500","152,000","153,000","150,500",0,0%
2021- 08- 27,"150,000","149,000","150,000","147,000",1.42M,0.33%
2021- 08- 26,"149,500","151,500","152,500","147,500",2.35M,-0.99%
2021- 08- 25,"151,000","149,000","153,500","148,500",2.89M,1.34%
2021- 08- 24,"149,000","150,000","150,500","148,000",2.02M,0.34%
2021- 08- 23,"148,500","146,000","148,500","144,500",2.66M,3.13%
2021- 08- 22,"148,500","146,000","148,500","144,500",0,0%
2021- 08- 20,"144,000","146,500","149,000","143,000",2.76M,-1.71%
2021- 08- 19,"146,500","144,000","149,000","144,000",2.79M,0.69%
2021- 08- 18,"145,500","142,000","146,500","141,500",2.71M,2.46%
2021- 08- 17,"142,000","146,000","147,500","141,000",3.31M,-2.74%
2021- 08- 16,"142,000","146,000","147,500","141,000",0,0%
2021- 08- 13,"146,000","147,500","147,500","144,500",2.14M,-1.02%
2021- 08- 12,"147,500","146,000","148,000","144,000",2.94M,2.43%
2021- 08- 11,"144,000","145,500","147,500","144,000",1.74M,-1.71%
2021- 08- 10,"146,500","148,000","148,500","144,500",2.07M,-1.01%
2021- 08- 09,"148,000","145,500","149,000","144,000",3.00M,1.72%
2021- 08- 08,"148,000","145,500","149,000","144,000",0,0%
2021- 08- 06,"145,500","149,500","149,500","145,000",4.12M,-2.35%
2021- 08- 05,"149,000","150,000","151,500","148,500",2.24M,-0.33%
2021- 08- 04,"149,500","144,500","150,000","144,000",3.11M,3.82%
2021- 08- 03,"144,000","146,000","146,500","143,000",2.68M,-1.37%
2021- 08- 02,"146,000","147,000","148,500","145,000",2.16M,-0.68%
2021- 08- 01,"146,000","147,000","148,500","145,000",0,0%
2021- 07- 30,"147,000","149,000","149,500","147,000",2.05M,-1.01%
2021- 07- 29,"148,500","148,500","149,000","147,500",1.75M,0.34%
2021- 07- 28,"148,000","147,000","149,500","146,500",2.68M,0.00%
2021- 07- 27,"148,000","147,500","149,000","145,500",3.34M,0.34%
2021- 07- 26,"147,500","151,500","153,000","146,500",4.05M,-1.34%
2021- 07- 25,"147,500","151,500","153,000","146,500",0,0%
2021- 07- 23,"149,500","148,500","153,500","147,500",5.20M,1.36%
2021- 07- 22,"147,500","144,500","148,000","142,500",5.70M,1.72%
2021- 07- 21,"145,000","153,000","155,500","144,500",10.35M,-4.61%
2021- 07- 20,"152,000","151,500","153,000","149,000",6.62M,-1.30%
2021- 07- 19,"154,000","155,500","155,500","154,000",3.41M,-1.91%
2021- 07- 18,"154,000","155,500","155,500","154,000",0,0%
2021- 07- 16,"157,000","158,500","159,500","157,000",3.39M,-1.57%
2021- 07- 15,"159,500","162,000","162,000","158,500",3.76M,-1.54%
2021- 07- 14,"162,000","161,500","164,500","161,000",3.22M,0.62%
